# kwatch config metadata v1
workers|Performance|Number of Kubernetes work queues processed in parallel.|active|
resyncSeconds|Performance|Periodic safety resync interval in seconds; zero keeps event-driven mode.|active|
maxRecentLogLines|Alerts|Maximum recent log lines attached to an incident.|active|
containerRestartThreshold|Alerts|Alert when a container reaches this cumulative restart count; zero disables it.|active|
includeEvents|Alerts|Include recent Kubernetes events in incident messages.|active|
includeLogs|Alerts|Include recent container logs in incident messages.|active|
alert|Alerts|Notification provider configuration stored in the Kubernetes Secret.|active|
namespaces|Scope|Comma-separated namespaces to watch; leave empty to watch every namespace.|active|
namespaceSelector|Scope|Kubernetes label selector used to choose namespaces.|active|
reasons|Scope|Comma-separated event reasons to allow or exclude with a leading !.|active|
ignoreFailedGracefulShutdown|Noise reduction|Ignore forceful container termination during an intentional shutdown.|active|
ignoreDisruptionTerminations|Noise reduction|Ignore pods being deliberately evicted, preempted, or disrupted.|active|
adaptiveThresholds|Noise reduction|Add bounded grace during normal partial rollouts.|active|
reportStartupBaseline|Noise reduction|Summarize issues that already existed when kwatch started.|active|
correlation.window|Incident memory|Minutes in which related signals are correlated.|active|
correlation.lifecycleInterval|Incident memory|Minutes between lifecycle and resolution sweeps.|active|
correlation.resolveHoldDown|Incident memory|Seconds a signal must stay healthy before resolving.|active|
correlation.cooldownMinutes|Incident memory|Minimum minutes before the same incident can notify again.|active|
correlation.maxBaseline|Incident memory|Maximum persisted baseline entries.|active|
correlation.escalation|Incident memory|JSON object controlling restart-count severity escalation.|active|
correlation.renotify|Incident memory|JSON object controlling periodic re-notification.|active|
severityByOwnerKind|Alerts|JSON map overriding severity by workload owner kind.|active|
severityByReason|Alerts|JSON map overriding severity by detected reason.|active|
smartGrouping.windowSeconds|Noise reduction|Seconds for grouping related failures into one notification.|active|
smartGrouping.namespaceFanOutThreshold|Noise reduction|Owners failing alike before a namespace fan-out incident is created.|active|
inhibition.nodeSuppressesPods|Noise reduction|Suppress pod symptoms while their node has an active incident.|active|
nodeMonitor.enabled|Monitors|Watch node readiness and pressure conditions.|active|
nodeMonitor.sustainedMinutes|Monitors|Minutes a node condition must persist before alerting.|active|
pvcMonitor.enabled|Monitors|Watch mounted PVC usage and storage pressure.|active|
pvcMonitor.interval|Monitors|Minutes between PVC usage checks.|active|
pvcMonitor.threshold|Monitors|PVC usage percentage that creates a warning.|active|
pvcMonitor.criticalThreshold|Monitors|PVC usage percentage that creates a critical alert.|active|
pvcMonitor.clearThreshold|Monitors|PVC usage percentage below which an alert resolves.|active|
rolloutMonitor.enabled|Monitors|Watch Deployments for stuck rollouts.|active|
rolloutMonitor.sustainedMinutes|Monitors|Minutes a Deployment may remain unavailable before alerting.|active|
statefulSetMonitor.enabled|Monitors|Watch StatefulSets for stuck updates.|active|
statefulSetMonitor.sustainedMinutes|Monitors|Minutes a StatefulSet may remain unavailable before alerting.|active|
daemonSetMonitor.enabled|Monitors|Watch DaemonSets for unavailable pods and scheduling failures.|active|
daemonSetMonitor.sustainedMinutes|Monitors|Minutes a DaemonSet may remain unavailable before alerting.|active|
jobMonitor.enabled|Monitors|Watch Jobs for failures and deadline problems.|active|
cronJobMonitor.enabled|Monitors|Watch CronJobs for missed or suspended work.|active|
cronJobMonitor.sustainedMinutes|Monitors|Minutes a CronJob condition must persist before alerting.|active|
hpaMonitor.enabled|Monitors|Watch HPAs that remain constrained or maxed out.|active|
hpaMonitor.sustainedMinutes|Monitors|Minutes an HPA must remain constrained before alerting.|active|
serviceMonitor.enabled|Monitors|Watch Services with no ready backends.|active|
ingressMonitor.enabled|Monitors|Watch Ingress backend availability.|active|
networkPolicyMonitor.enabled|Monitors|Detect evidence of restrictive NetworkPolicies.|active|
admissionWebhookMonitor.enabled|Monitors|Watch admission webhook availability and failures.|active|
controlPlaneMonitor.enabled|Monitors|Watch API server and control-plane health signals.|active|
clusterResourceMonitor.enabled|Monitors|Watch quota, namespace, and lease lifecycle failures.|active|
clusterResourceMonitor.sustainedMinutes|Monitors|Minutes a terminating namespace or quota condition must persist before alerting.|active|
clusterResourceMonitor.nodeLeaseStaleSeconds|Monitors|Seconds without a node lease renewal before reporting a stale heartbeat.|active|
heartbeatMonitor.enabled|Monitors|Send a periodic external dead-man heartbeat.|active|
heartbeatMonitor.interval|Monitors|Seconds between heartbeat notifications.|active|
heartbeatMonitor.url|Monitors|Optional heartbeat endpoint URL.|active|
scheduleMonitor.enabled|Monitors|Include scheduling delay and unschedulable diagnostics.|active|
oomMonitor.enabled|Monitors|Track repeating OOM kills independently from current pod state.|active|
oomMonitor.threshold|Monitors|OOM kills within the window before raising a repeating-OOM incident.|active|
oomMonitor.windowMinutes|Monitors|Sliding window used for repeating OOM detection.|active|
pendingPodMonitor.enabled|Monitors|Watch pods that remain Pending.|active|
pendingPodMonitor.threshold|Monitors|Seconds a pod may remain Pending before alerting.|active|
notReadyMonitor.enabled|Monitors|Watch running pods that remain not ready.|active|
pdbMonitor.enabled|Monitors|Watch PodDisruptionBudgets that block voluntary disruption.|active|
pdbMonitor.sustainedMinutes|Monitors|Minutes a PDB violation must persist before alerting.|active|
nodeResourceMonitor.enabled|Monitors|Watch node overcommit and filesystem/inode pressure.|active|
nodeResourceMonitor.intervalSeconds|Monitors|Seconds between node resource checks.|active|
nodeResourceMonitor.cpuWarning|Monitors|CPU requested-to-capacity ratio that raises a warning.|active|
nodeResourceMonitor.cpuCritical|Monitors|CPU requested-to-capacity ratio that raises a critical alert.|active|
nodeResourceMonitor.memWarning|Monitors|Memory requested-to-capacity ratio that raises a warning.|active|
nodeResourceMonitor.memCritical|Monitors|Memory requested-to-capacity ratio that raises a critical alert.|active|
nodeResourceMonitor.filesystemWarningPercent|Monitors|Node filesystem usage warning threshold.|active|
nodeResourceMonitor.filesystemCriticalPercent|Monitors|Node filesystem usage critical threshold.|active|
nodeResourceMonitor.inodeWarningPercent|Monitors|Node inode usage warning threshold.|active|
nodeResourceMonitor.inodeCriticalPercent|Monitors|Node inode usage critical threshold.|active|
runtimeMetricsMonitor.enabled|Monitors|Use metrics.k8s.io when available for workload usage diagnostics.|active|
runtimeMetricsMonitor.intervalSeconds|Monitors|Seconds between runtime metrics checks.|active|
runtimeMetricsMonitor.memoryWarningPercent|Monitors|Memory usage warning percentage when metrics.k8s.io is available.|active|
runtimeMetricsMonitor.memoryCriticalPercent|Monitors|Memory usage critical percentage when metrics.k8s.io is available.|active|
runtimeMetricsMonitor.cpuWarningPercent|Monitors|CPU usage warning percentage when metrics.k8s.io is available.|active|
