# kwatch config catalog v1
workers|integer|1|Performance|Number of Kubernetes work queues processed in parallel.|active|
resyncSeconds|integer|0|Performance|Periodic safety resync interval in seconds; zero keeps event-driven mode.|active|
maxRecentLogLines|integer|50|Alerts|Maximum recent log lines attached to an incident.|active|
containerRestartThreshold|integer|0|Alerts|Alert when a container reaches this cumulative restart count; zero disables it.|active|
includeEvents|boolean|true|Alerts|Include recent Kubernetes events in incident messages.|active|
includeLogs|boolean|true|Alerts|Include recent container logs in incident messages.|active|
alert|json|{}|Alerts|Notification provider configuration stored in the Kubernetes Secret.|active|
namespaces|list|all|Scope|Comma-separated namespaces to watch; leave empty to watch every namespace.|active|
namespaceSelector|string|empty|Scope|Kubernetes label selector used to choose namespaces.|active|
reasons|list|all|Scope|Comma-separated event reasons to allow or exclude with a leading !.|active|
ignoreFailedGracefulShutdown|boolean|true|Noise reduction|Ignore forceful container termination during an intentional shutdown.|active|
ignoreDisruptionTerminations|boolean|true|Noise reduction|Ignore pods being deliberately evicted, preempted, or disrupted.|active|
adaptiveThresholds|boolean|true|Noise reduction|Add bounded grace during normal partial rollouts.|active|
reportStartupBaseline|boolean|true|Noise reduction|Summarize issues that already existed when kwatch started.|active|
correlation.window|integer|10|Incident memory|Minutes in which related signals are correlated.|active|
correlation.lifecycleInterval|integer|1|Incident memory|Minutes between lifecycle and resolution sweeps.|active|
correlation.resolveHoldDown|integer|300|Incident memory|Seconds a signal must stay healthy before resolving.|active|
correlation.cooldownMinutes|integer|10|Incident memory|Minimum minutes before the same incident can notify again.|active|
correlation.maxBaseline|integer|5000|Incident memory|Maximum persisted baseline entries.|active|
correlation.escalation|json|{"enabled":true,"tiers":[3,10]}|Incident memory|JSON object controlling restart-count severity escalation.|active|
correlation.renotify|json|{"maxPerIncident":3}|Incident memory|JSON object controlling periodic re-notification.|active|
severityByOwnerKind|json|{}|Alerts|JSON map overriding severity by workload owner kind.|active|
severityByReason|json|{}|Alerts|JSON map overriding severity by detected reason.|active|
smartGrouping.windowSeconds|integer|60|Noise reduction|Seconds for grouping related failures into one notification.|active|
smartGrouping.namespaceFanOutThreshold|integer|3|Noise reduction|Owners failing alike before a namespace fan-out incident is created.|active|
inhibition.nodeSuppressesPods|boolean|true|Noise reduction|Suppress pod symptoms while their node has an active incident.|active|
nodeMonitor.enabled|boolean|true|Monitors|Watch node readiness and pressure conditions.|active|
nodeMonitor.sustainedMinutes|integer|3|Monitors|Minutes a node condition must persist before alerting.|active|
pvcMonitor.enabled|boolean|true|Monitors|Watch mounted PVC usage and storage pressure.|active|
pvcMonitor.interval|integer|5|Monitors|Minutes between PVC usage checks.|active|
pvcMonitor.threshold|float|80|Monitors|PVC usage percentage that creates a warning.|active|
pvcMonitor.criticalThreshold|float|90|Monitors|PVC usage percentage that creates a critical alert.|active|
pvcMonitor.clearThreshold|float|75|Monitors|PVC usage percentage below which an alert resolves.|active|
rolloutMonitor.enabled|boolean|true|Monitors|Watch Deployments for stuck rollouts.|active|
rolloutMonitor.sustainedMinutes|integer|5|Monitors|Minutes a Deployment may remain unavailable before alerting.|active|
statefulSetMonitor.enabled|boolean|true|Monitors|Watch StatefulSets for stuck updates.|active|
statefulSetMonitor.sustainedMinutes|integer|5|Monitors|Minutes a StatefulSet may remain unavailable before alerting.|active|
daemonSetMonitor.enabled|boolean|true|Monitors|Watch DaemonSets for unavailable pods and scheduling failures.|active|
daemonSetMonitor.sustainedMinutes|integer|5|Monitors|Minutes a DaemonSet may remain unavailable before alerting.|active|
jobMonitor.enabled|boolean|true|Monitors|Watch Jobs for failures and deadline problems.|active|
cronJobMonitor.enabled|boolean|true|Monitors|Watch CronJobs for missed or suspended work.|active|
cronJobMonitor.sustainedMinutes|integer|5|Monitors|Minutes a CronJob condition must persist before alerting.|active|
hpaMonitor.enabled|boolean|true|Monitors|Watch HPAs that remain constrained or maxed out.|active|
hpaMonitor.sustainedMinutes|integer|20|Monitors|Minutes an HPA must remain constrained before alerting.|active|
serviceMonitor.enabled|boolean|true|Monitors|Watch Services with no ready backends.|active|
ingressMonitor.enabled|boolean|true|Monitors|Watch Ingress backend availability.|active|
networkPolicyMonitor.enabled|boolean|true|Monitors|Detect evidence of restrictive NetworkPolicies.|active|
admissionWebhookMonitor.enabled|boolean|true|Monitors|Watch admission webhook availability and failures.|active|
controlPlaneMonitor.enabled|boolean|true|Monitors|Watch API server and control-plane health signals.|active|
clusterResourceMonitor.enabled|boolean|true|Monitors|Watch quota, namespace, and lease lifecycle failures.|active|
clusterResourceMonitor.sustainedMinutes|integer|10|Monitors|Minutes a terminating namespace or quota condition must persist before alerting.|active|
